Row1,Row2,Correlation Coefficient
2,240,-0.18136377607356768
2,241,0.2888150790595195
2,242,-0.3998795512450499
2,243,-0.36748653771547496
2,244,-0.8069644836881419
2,245,0.25871119673080895
2,246,-0.5472883556370262
2,247,0.08956188929465102
2,248,-0.29434831361474223
2,249,-0.9193585837359467
2,250,-0.11364481024843329
3,4,0.053818578238421844
3,5,0.4775774569144038
3,6,0.0910512420024112
3,7,-0.642396962973657
3,8,0.34648689557311413
3,9,-0.2192001194471406
3,10,0.33577763996563564
3,11,0.5914477952328183
3,12,0.9458196214115555
3,13,0.11859499679089537
3,14,-0.5251314903874673
3,15,0.25950661417530296
3,16,-0.48151967189845696
3,17,-0.2983368739529374
3,18,-0.2887821672264517
3,19,0.32722727777045774
3,20,-0.09463942153309177
3,21,-0.07711864827758208
3,22,0.08628758348693161
3,23,-0.5091070375783555
3,24,-0.810813925268665
3,25,-0.04243609888756564
3,26,-0.6228976425814906
3,27,-0.5262015496839829
3,28,-0.07076457235380254
3,29,0.13773133123041492
3,30,-0.1625929126423848
3,31,-0.15058217279471398
3,32,-0.48762215397085085
3,33,0.8032053764108869
3,34,-0.005764539727989493
3,35,0.336856632277954
3,36,0.2994287396427494
3,37,-0.7384163567565523
3,38,0.31060556319616456
3,39,-0.37032379139906907
3,40,0.944221626554175
3,41,-0.28777654877956643
3,42,-0.7069031550958715
3,43,-0.11686428250212558
3,44,-0.11784168920342741
3,45,0.84183846939019
3,46,-0.3869475156355077
3,47,0.032744851481547654
3,48,-0.22205356118114103
3,49,0.4086662587303004
3,50,-0.23892932353149318
3,51,-0.27416076796261707
3,52,0.25251696655367994
3,53,-0.6580649291871885
3,54,-0.47432397763878925
3,55,0.3146637966351513
3,56,-0.16433142888158442
3,57,-0.4620857316918026
3,58,-0.7817689712149113
3,59,-0.09033100358333064
3,60,-0.2938789092788102
3,61,-0.4637483818585122
3,62,0.25429806478421396
3,63,-0.6565052598224499
3,64,-0.33914544346956915
3,65,-0.04039032831440374
3,66,-0.36203157013080195
3,67,-0.7027682704975083
3,68,-0.8062776912145765
3,69,0.101876933074202
3,70,-0.6240536612455261
3,71,0.18924145047631277
3,72,0.08790908471827141
3,73,0.22772403678964284
3,74,-0.18013182784659457
3,75,0.1669505231963009
3,76,0.45803918448782105
3,77,-0.22465565074302826
3,78,-0.4272888725624771
3,79,-0.11137260923249963
3,80,0.2743431854303755
3,81,-0.33786546475501045
3,82,-0.3555501632031625
3,83,0.1224634569201133
3,84,-0.15166624887317365
3,85,-0.24753084312853862
3,86,-0.16574571677662706
3,87,-0.12180260739931661
3,88,-0.7266956322826443
3,89,-0.506283375187436
3,90,-0.4728870998908344
3,91,-0.1015903605240765
3,92,0.21368492115066326
3,93,-0.17544809394233632
3,94,-0.7063487003520349
3,95,0.37891545323982967
3,96,-0.36395078999683966
3,97,0.2524934665433603
3,98,-0.24575536184282434
3,99,0.501571929304179
3,100,-0.22186844938343903
3,101,0.31359099397642304
3,102,0.37096334410203985
3,103,-0.5868575752345834
3,104,-0.31401033456870775
3,105,0.6114030975245274
3,106,-0.31658661846257097
3,107,-0.5727910346477508
3,108,0.2152695368958292
3,109,-0.12165546685523765
3,110,-0.5179784224517401
3,111,-0.37240400310868577
3,112,0.008507105595089244
3,113,-0.17212841691387032
3,114,0.5665849734323668
3,115,0.20637184295665692
